Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection;ID;Latitudes;Longitudes
01/04/2020;Andorre;376;12;10;3.19;2.66;94.15;Andorra;42.5407167;1.5732033
01/04/2020;Émirats Arabes Unis;664;6;61;0.9;9.19;89.91;الإمارات العربية المتحدة;24.0002488;53.9994829
01/04/2020;Afghanistan;196;4;5;2.04;2.55;95.41;افغانستان;33.7680065;66.2385139
01/04/2020;Antigua-et-Barbuda;7;0;0;0.0;0.0;100.0;Antigua and Barbuda;17.2234721;-61.9554608
01/04/2020;Albanie;259;15;67;5.79;25.87;68.34;Shqipëria;41.000028;19.9999619
01/04/2020;Arménie;571;3;31;0.53;5.43;94.05;Հայաստան;40.7696272;44.6736646
01/04/2020;Angola;7;2;1;28.57;14.29;57.14;Angola;-11.8775768;17.5691241
01/04/2020;Argentine;1054;27;240;2.56;22.77;74.67;Argentina;-34.9964963;-64.9672817
01/04/2020;Autriche;10482;146;1436;1.39;13.7;84.91;Österreich;47.2000338;13.199959
01/04/2020;Australie;4862;20;422;0.41;8.68;90.91;Australia;-24.7761086;134.755
01/04/2020;Azerbaïdjan;359;5;26;1.39;7.24;91.36;Azərbaycan;40.3936294;47.7872508
01/04/2020;Bosnie-Herzégovine;455;13;19;2.86;4.18;92.97;Bosna i Hercegovina / Босна и Херцеговина;44.3053476;17.5961467
01/04/2020;Barbade;34;0;0;0.0;0.0;100.0;Barbados;13.1500331;-59.5250305
01/04/2020;Bangladesh;54;6;25;11.11;46.3;42.59;বাংলাদেশ;24.4768783;90.2932426
01/04/2020;Belgique;13964;828;2132;5.93;15.27;78.8;België / Belgique / Belgien;50.6402809;4.6667145
01/04/2020;Burkina Faso;261;14;32;5.36;12.26;82.38;Burkina Faso;12.0753083;-1.6880314
01/04/2020;Bulgarie;412;9;20;2.18;4.85;92.96;Бългaрия;42.6073975;25.4856617
01/04/2020;Bahreïn;567;4;316;0.71;55.73;43.56;‏البحرين‎;26.1551249;50.5344606
01/04/2020;Burundi;2;0;0;0.0;0.0;100.0;Burundi;-3.3634357;29.8870575
01/04/2020;Bénin;9;0;1;0.0;11.11;88.89;Bénin;9.5293472;2.2584408
01/04/2020;Saint Barthélemy;6;0;1;0.0;16.67;83.33;Saint-Barthélemy, 97133, France;17.9036287;-62.811568843006896
01/04/2020;Brunéi Darussalam;131;1;52;0.76;39.69;59.54;Brunei;4.4137155;114.5653908
01/04/2020;Bolivie;115;7;1;6.09;0.87;93.04;Bolivia;-17.0568696;-64.9912286
01/04/2020;Brésil;5812;203;127;3.49;2.19;94.32;Brasil;-10.3333333;-53.2
01/04/2020;Bahamas;15;0;1;0.0;6.67;93.33;The Bahamas;24.7736546;-78.0000547
01/04/2020;Bhoutan;4;0;0;0.0;0.0;100.0;འབྲུག་ཡུལ་;27.549511;90.5119273
01/04/2020;Botswana;4;1;0;25.0;0.0;75.0;Botswana;-23.1681782;24.5928742
01/04/2020;Bélarus;163;2;53;1.23;32.52;66.26;Беларусь;53.4250605;27.6971358
